2024-08-27 09:04:04,384 INFO    StreamThr :197333 [internal.py:wandb_internal():86] W&B internal server running at pid: 197333, started at: 2024-08-27 09:04:04.380141
2024-08-27 09:04:04,394 DEBUG   HandlerThread:197333 [handler.py:handle_request():146] handle_request: status
2024-08-27 09:04:04,401 INFO    WriterThread:197333 [datastore.py:open_for_write():85] open: /workspace/minghang/gist-cllm/wandb/offline-run-20240827_090404-p0s6natb/run-p0s6natb.wandb
2024-08-27 09:04:04,483 DEBUG   HandlerThread:197333 [handler.py:handle_request():146] handle_request: run_start
2024-08-27 09:04:04,501 DEBUG   HandlerThread:197333 [system_info.py:__init__():32] System info init
2024-08-27 09:04:04,505 DEBUG   HandlerThread:197333 [system_info.py:__init__():47] System info init done
2024-08-27 09:04:04,505 INFO    HandlerThread:197333 [system_monitor.py:start():194] Starting system monitor
2024-08-27 09:04:04,507 INFO    HandlerThread:197333 [system_monitor.py:probe():214] Collecting system info
2024-08-27 09:04:04,507 INFO    SystemMonitor:197333 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-27 09:04:04,512 INFO    SystemMonitor:197333 [interfaces.py:start():190] Started cpu monitoring
2024-08-27 09:04:04,516 INFO    SystemMonitor:197333 [interfaces.py:start():190] Started disk monitoring
2024-08-27 09:04:04,527 INFO    SystemMonitor:197333 [interfaces.py:start():190] Started gpu monitoring
2024-08-27 09:04:04,530 INFO    SystemMonitor:197333 [interfaces.py:start():190] Started memory monitoring
2024-08-27 09:04:04,534 INFO    SystemMonitor:197333 [interfaces.py:start():190] Started network monitoring
2024-08-27 09:04:04,591 DEBUG   HandlerThread:197333 [system_info.py:probe():196] Probing system
2024-08-27 09:04:04,599 DEBUG   HandlerThread:197333 [system_info.py:_probe_git():181] Probing git
2024-08-27 09:04:04,652 DEBUG   HandlerThread:197333 [system_info.py:_probe_git():189] Probing git done
2024-08-27 09:04:04,652 DEBUG   HandlerThread:197333 [system_info.py:probe():244] Probing system done
