2024-08-27 09:15:22,627 INFO    StreamThr :200597 [internal.py:wandb_internal():86] W&B internal server running at pid: 200597, started at: 2024-08-27 09:15:22.625337
2024-08-27 09:15:22,634 DEBUG   HandlerThread:200597 [handler.py:handle_request():146] handle_request: status
2024-08-27 09:15:22,652 INFO    WriterThread:200597 [datastore.py:open_for_write():85] open: /workspace/minghang/gist-cllm/wandb/offline-run-20240827_091522-w6l5a6x5/run-w6l5a6x5.wandb
2024-08-27 09:15:22,719 DEBUG   HandlerThread:200597 [handler.py:handle_request():146] handle_request: run_start
2024-08-27 09:15:22,732 DEBUG   HandlerThread:200597 [system_info.py:__init__():32] System info init
2024-08-27 09:15:22,732 DEBUG   HandlerThread:200597 [system_info.py:__init__():47] System info init done
2024-08-27 09:15:22,732 INFO    HandlerThread:200597 [system_monitor.py:start():194] Starting system monitor
2024-08-27 09:15:22,733 INFO    HandlerThread:200597 [system_monitor.py:probe():214] Collecting system info
2024-08-27 09:15:22,734 INFO    SystemMonitor:200597 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-27 09:15:22,737 INFO    SystemMonitor:200597 [interfaces.py:start():190] Started cpu monitoring
2024-08-27 09:15:22,741 INFO    SystemMonitor:200597 [interfaces.py:start():190] Started disk monitoring
2024-08-27 09:15:22,746 INFO    SystemMonitor:200597 [interfaces.py:start():190] Started gpu monitoring
2024-08-27 09:15:22,754 INFO    SystemMonitor:200597 [interfaces.py:start():190] Started memory monitoring
2024-08-27 09:15:22,760 INFO    SystemMonitor:200597 [interfaces.py:start():190] Started network monitoring
2024-08-27 09:15:22,810 DEBUG   HandlerThread:200597 [system_info.py:probe():196] Probing system
2024-08-27 09:15:22,817 DEBUG   HandlerThread:200597 [system_info.py:_probe_git():181] Probing git
2024-08-27 09:15:22,854 DEBUG   HandlerThread:200597 [system_info.py:_probe_git():189] Probing git done
2024-08-27 09:15:22,855 DEBUG   HandlerThread:200597 [system_info.py:probe():244] Probing system done
